Facility Type,Visit Date,Average Time Spent
Specialty Center,2025-11-03,29
Hospital,2025-11-03,30
Clinic,2025-11-03,59
Hospital,2025-11-02,48
Clinic,2025-11-02,43
Specialty Center,2025-11-01,48.67
Hospital,2025-11-01,45
Clinic,2025-11-01,33.5
Specialty Center,2025-10-31,29
Hospital,2025-10-31,54
Clinic,2025-10-31,43
Hospital,2025-10-30,28
Clinic,2025-10-30,52
Specialty Center,2025-10-29,31
Hospital,2025-10-29,50
Clinic,2025-10-29,35.5
Specialty Center,2025-10-28,60
Hospital,2025-10-28,37.33
Clinic,2025-10-28,39.33
